"","Poll_spec","Poll_order","Julian_day","Plant_spec","Freq","Period"
"1","Andrena medionitens","Hymenoptera",187,"Rubus deliciosus",5,"Past"
"2","Andrena medionitens","Hymenoptera",156,"Rubus deliciosus",4,"Past"
"3","Andrena medionitens","Hymenoptera",180,"Rubus idaeus var. strigosus",1,"Past"
"5","Andrena medionitens","Hymenoptera",176,"Penstemon glaber",3,"Past"
"7","Andrena medionitens","Hymenoptera",195,"Rubus idaeus var. strigosus",1,"Past"
"8","Andrena medionitens","Hymenoptera",185,"Penstemon secundiflorus",1,"Past"
"10","Andrena medionitens","Hymenoptera",193,"Rubus idaeus var. strigosus",1,"Past"
"12","Andrena medionitens","Hymenoptera",176,"Rubus deliciosus",1,"Past"
"14","Andrena medionitens","Hymenoptera",179,"Rubus deliciosus",2,"Past"
"22","Andrena medionitens","Hymenoptera",193,"Aquilegia coerulea",5,"Past"
"24","Andrena medionitens","Hymenoptera",195,"Geranium richardsonii",5,"Past"
"25","Andrena medionitens","Hymenoptera",204,"Geranium caespitosum",1,"Past"
"26","Andrena medionitens","Hymenoptera",204,"Geranium richardsonii",1,"Past"
"27","Andrena medionitens","Hymenoptera",190,"Geranium caespitosum",2,"Past"
"28","Andrena medionitens","Hymenoptera",190,"Geranium richardsonii",2,"Past"
"29","Andrena medionitens","Hymenoptera",190,"Geranium caespitosum",7,"Past"
"30","Andrena medionitens","Hymenoptera",190,"Geranium richardsonii",7,"Past"
"31","Andrena medionitens","Hymenoptera",183,"Rubus idaeus var. strigosus",1,"Past"
"32","Andrena medionitens","Hymenoptera",193,"Geranium caespitosum",3,"Past"
"33","Andrena medionitens","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"37","Andrena medionitens","Hymenoptera",195,"Aquilegia coerulea",1,"Past"
"40","Adejeania vexatrix","Diptera",201,"Chamaenerion angustifolium",1,"Past"
"41","Andrena canadensis","Hymenoptera",156,"Rubus deliciosus",14,"Past"
"42","Andrena crataegi","Hymenoptera",162,"Rubus deliciosus",2,"Past"
"43","Andrena crataegi","Hymenoptera",164,"Rubus deliciosus",1,"Past"
"44","Andrena crataegi","Hymenoptera",174,"Rubus deliciosus",7,"Past"
"45","Andrena crataegi","Hymenoptera",187,"Rubus deliciosus",8,"Past"
"46","Andrena crataegi","Hymenoptera",156,"Rubus deliciosus",4,"Past"
"47","Andrena crataegi","Hymenoptera",158,"Rubus deliciosus",3,"Past"
"48","Andrena crataegi","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"49","Andrena crataegi","Hymenoptera",182,"Rubus idaeus var. strigosus",1,"Past"
"50","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",5,"Past"
"51","Andrena crataegi","Hymenoptera",178,"Rubus deliciosus",4,"Past"
"53","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",6,"Past"
