"","Poll_spec","Poll_order","Julian_day","Plant_spec","Freq","Period"
"42","Andrena crataegi","Hymenoptera",162,"Rubus deliciosus",2,"Past"
"43","Andrena crataegi","Hymenoptera",164,"Rubus deliciosus",1,"Past"
"44","Andrena crataegi","Hymenoptera",174,"Rubus deliciosus",7,"Past"
"45","Andrena crataegi","Hymenoptera",187,"Rubus deliciosus",8,"Past"
"46","Andrena crataegi","Hymenoptera",156,"Rubus deliciosus",4,"Past"
"47","Andrena crataegi","Hymenoptera",158,"Rubus deliciosus",3,"Past"
"48","Andrena crataegi","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"49","Andrena crataegi","Hymenoptera",182,"Rubus idaeus var. strigosus",1,"Past"
"50","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",5,"Past"
"51","Andrena crataegi","Hymenoptera",178,"Rubus deliciosus",4,"Past"
"52","Andrena crataegi","Hymenoptera",178,"Opulaster",20,"Past"
"53","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",6,"Past"
"54","Andrena crataegi","Hymenoptera",187,"Opulaster",18,"Past"
"55","Andrena crataegi","Hymenoptera",188,"Opulaster",5,"Past"
"56","Andrena crataegi","Hymenoptera",188,"Rubus idaeus var. strigosus",1,"Past"
"57","Andrena crataegi","Hymenoptera",188,"Opulaster",3,"Past"
"58","Andrena crataegi","Hymenoptera",193,"Opulaster",1,"Past"
"59","Andrena crataegi","Hymenoptera",193,"Rubus idaeus var. strigosus",1,"Past"
"60","Andrena crataegi","Hymenoptera",176,"Rubus deliciosus",6,"Past"
"61","Andrena crataegi","Hymenoptera",176,"Prunus demissa",22,"Past"
"62","Andrena crataegi","Hymenoptera",179,"Rubus deliciosus",13,"Past"
"63","Andrena crataegi","Hymenoptera",179,"Prunus demissa",54,"Past"
"64","Andrena crataegi","Hymenoptera",179,"Rubus deliciosus",10,"Past"
"65","Andrena crataegi","Hymenoptera",179,"Rosa acicularis",3,"Past"
"66","Andrena crataegi","Hymenoptera",179,"Prunus demissa",85,"Past"
"67","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"68","Andrena crataegi","Hymenoptera",187,"Physocarpus opulifolius",20,"Past"
"69","Andrena crataegi","Hymenoptera",189,"Rosa acicularis",9,"Past"
"70","Andrena crataegi","Hymenoptera",192,"Rosa acicularis",2,"Past"
"71","Andrena crataegi","Hymenoptera",193,"Rosa acicularis",1,"Past"
"72","Andrena crataegi","Hymenoptera",201,"Rosa acicularis",7,"Past"
"73","Andrena crataegi","Hymenoptera",194,"Rosa acicularis",9,"Past"
"74","Andrena crataegi","Hymenoptera",192,"Rosa acicularis",1,"Past"
"75","Andrena crataegi","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"76","Andrena crataegi","Hymenoptera",184,"Rosa acicularis",4,"Past"
"78","Andrena prunorum","Hymenoptera",156,"Rubus deliciosus",4,"Past"
"79","Andrena prunorum","Hymenoptera",158,"Rubus deliciosus",1,"Past"
"80","Andrena prunorum","Hymenoptera",176,"Penstemon glaber",1,"Past"
"81","Andrena prunorum","Hymenoptera",174,"Prunus demissa",4,"Past"
"82","Andrena prunorum","Hymenoptera",192,"Rosa acicularis",1,"Past"
"83","Andrena prunorum","Hymenoptera",184,"Rosa acicularis",1,"Past"
"109","Anthophora terminalis","Hymenoptera",176,"Penstemon glaber",1,"Past"
"110","Anthophora terminalis","Hymenoptera",193,"Penstemon glaber",6,"Past"
"111","Anthophora terminalis","Hymenoptera",199,"Penstemon glaber",1,"Past"
"112","Anthophora terminalis","Hymenoptera",193,"Penstemon glaber",4,"Past"
"113","Anthophora terminalis","Hymenoptera",199,"Penstemon glaber",2,"Past"
"114","Anthophora terminalis","Hymenoptera",189,"Monarda fistulosa",5,"Past"
"115","Anthophora terminalis","Hymenoptera",220,"Monarda fistulosa",1,"Past"
"116","Anthophora terminalis","Hymenoptera",220,"Monarda fistulosa",3,"Past"
"117","Anthophora terminalis","Hymenoptera",226,"Monarda fistulosa",6,"Past"
"118","Anthophora terminalis","Hymenoptera",226,"Monarda fistulosa",1,"Past"
"119","Anthophora terminalis","Hymenoptera",227,"Monarda fistulosa",1,"Past"
"120","Anthophora terminalis","Hymenoptera",227,"Monarda fistulosa",1,"Past"
"121","Anthophora terminalis","Hymenoptera",201,"Rosa acicularis",2,"Past"
"122","Anthophora terminalis","Hymenoptera",201,"Aquilegia coerulea",1,"Past"
