Poll_spec,Poll_order,Julian_day,Plant_spec,Freq,Ele_m,Lat,Lon,Period
Acanthoscelides sp.,Coleoptera,174,Potentilla hippiana,1,2204.740723,38.87038898,-104.943374,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2546.54,38.89646902,-104.985244,Present
Allograpta obliqua,Diptera,174,Rubus deliciosus,1,2620.61499,38.90224398,-104.99246,Present
Anthophora bomboides,Hymenoptera,188,Rosa acicularis subsp. sayi,1,2782.04248,38.928191,-105.04703,Present
Acanthoscelides sp.,Coleoptera,171,Physocarpus monogynus,1,2262.005127,38.84937303,-104.942303,Present
Allograpta obliqua,Diptera,182,Penstemon glaber,1,2793.486816,38.92774601,-105.048208,Present
Aglais milberti,Lepidoptera,219,Senecio fremontii var. blitoides,1,4268.767578,38.84055996,-105.041634,Present
Phasia sp.,Diptera,191,Geum rossii var. turbinatum,1,4253.178711,38.84083699,-105.041633,Present
Nysius sp.,Hemiptera,191,Claytonia megarhiza,1,4253.178711,38.84083699,-105.041633,Present
Allograpta obliqua,Diptera,221,Chamaenerion angustifolium,1,3135.234619,38.89265701,-105.066539,Present
Acmaeodera mixta,Coleoptera,211,Achillea millefolium,1,2527.617432,38.89153501,-104.974702,Present
Torymidae spp.,Hymenoptera,176,Geum rossii var. turbinatum,1,4279.602051,38.84093396,-105.041603,Present
Torymidae spp.,Hymenoptera,176,Geum rossii var. turbinatum,3,4275.726562,38.84089398,-105.041596,Present
Protophormia terraenovae,Diptera,191,Geum rossii var. turbinatum,2,4257.875,38.84082198,-105.041564,Present
Anthophora bomboides,Hymenoptera,188,Rosa acicularis subsp. sayi,1,2782.04248,38.928191,-105.04703,Present
Anthophora bomboides,Hymenoptera,197,Mertensia ciliata,1,2778.149658,38.92418303,-105.022158,Present
Nysius sp.,Hemiptera,190,Geum rossii var. turbinatum,1,4263.776855,38.84074604,-105.041519,Present
Anthomyiidae spp.,Diptera,183,Geum rossii var. turbinatum,1,4257.193359,38.84073297,-105.04147,Present
Acmaeodera mixta,Coleoptera,174,Potentilla hippiana,1,2204.740723,38.87038898,-104.943374,Present
Acmaeodera mixta,Coleoptera,182,Arnica fulgens,1,2205.878906,38.87067698,-104.94318,Present
Anastoechus sp.,Diptera,197,Geranium caespitosum,1,2783.145508,38.92417104,-105.022241,Present
Anthomyiidae spp.,Diptera,190,Geum rossii var. turbinatum,1,4134.77734,38.840524,-105.03967,Present
Anthophora bomboides,Hymenoptera,197,Chamaenerion angustifolium,1,2778.149658,38.92418303,-105.022158,Present
Drymeia sp.,Diptera,190,Geum rossii var. turbinatum,1,4260.161133,38.840754,-105.041461,Present
Nysius sp.,Hemiptera,190,Geum rossii var. turbinatum,1,4260.161133,38.840754,-105.041461,Present
Andrena aff. costillensis,Hymenoptera,200,Mentzelia multiflora/speciosa,1,2113.560303,38.85990296,-104.935042,Present
Acmaeodera mixta,Coleoptera,174,Achillea millefolium,1,2208.082275,38.87002998,-104.942997,Present
Acmaeodera mixta,Coleoptera,174,Arnica fulgens,1,2203.103027,38.86942104,-104.942677,Present
Phasia sp.,Diptera,191,Geum rossii var. turbinatum,1,4258.30127,38.84072199,-105.041414,Present
Chlamydatus sp.,Hemiptera,191,Geum rossii var. turbinatum,1,4258.30127,38.84072199,-105.041414,Present
Lygus spp.,Hemiptera,191,Geum rossii var. turbinatum,1,4258.30127,38.84072199,-105.041414,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4258.30127,38.84072199,-105.041414,Present
Torymidae spp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4258.30127,38.84072199,-105.041414,Present
Nysius sp.,Hemiptera,183,Rhodiola integrifolia,4,4252.124023,38.84082399,-105.041379,Present
Rhamphomyia spp.,Diptera,173,Geum rossii var. turbinatum,1,4255.648438,38.84080002,-105.041356,Present
Phasia sp.,Diptera,191,Geum rossii var. turbinatum,1,4254.874512,38.84081896,-105.041349,Present
Phasia sp.,Diptera,191,Geum rossii var. turbinatum,2,4247.538574,38.84090798,-105.041325,Present
Nematinae sp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4247.538574,38.84090798,-105.041325,Present
Torymidae spp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4247.538574,38.84090798,-105.041325,Present
Muscidae spp.,Diptera,183,Geum rossii var. turbinatum,1,4255.875,38.840902,-105.04129,Present
Rhamphomyia spp.,Diptera,176,Eritrichium nanum var. elongatum,1,4253.250977,38.84092097,-105.041289,Present
Allograpta obliqua,Diptera,231,Geranium caespitosum,1,2817.997803,38.92497797,-105.021831,Present
Lygaeidae spp.,Hemiptera,191,Claytonia megarhiza,1,4225.184082,38.83977097,-105.041225,Present
Selasphorus platycercus,Apodiformes,202,Penstemon glaber,1,3573.999756,38.87568701,-105.064117,Present
Acmaeodera mixta,Coleoptera,182,Erigeron speciosus,1,2201.211182,38.86957099,-104.942487,Present
Nysius sp.,Hemiptera,191,Claytonia megarhiza,1,4225.184082,38.83977097,-105.041225,Present
Torymidae spp.,Hymenoptera,191,Claytonia megarhiza,1,4225.184082,38.83977097,-105.041225,Present
Acmaeodera mixta,Coleoptera,198,Erigeron speciosus,1,2202.916992,38.866971,-104.941739,Present
Anthomyiidae spp.,Diptera,219,Senecio fremontii var. blitoides,1,4111.06494,38.839039,-105.03867,Present
Anthomyiidae spp.,Diptera,183,Bistorta bistortoides,1,3617.518066,38.84201003,-105.026714,Present
Nysius sp.,Hemiptera,204,Geum rossii var. turbinatum,1,4231.510254,38.84071302,-105.041194,Present
Anthomyiidae spp.,Diptera,190,Bistorta bistortoides,1,3609.280029,38.84198103,-105.026306,Present
Anthomyiidae spp.,Diptera,199,Saxifraga bronchialis subsp. austromontana,1,3562.695068,38.87340504,-105.063226,Present
Selasphorus platycercus,Apodiformes,218,Chamaenerion angustifolium,1,2781.89331,38.927718,-105.04779,Present
Selasphorus platycercus,Apodiformes,226,Chamaenerion angustifolium,1,2780.10791,38.92413701,-105.022286,Present
Selasphorus platycercus,Apodiformes,226,Oenothera villosa,1,2781.878906,38.92424497,-105.022374,Present
Anthomyiidae spp.,Diptera,226,Chamaenerion angustifolium,1,2781.52173,38.924152,-105.02237,Present
Muscidae spp.,Diptera,210,Rhodiola integrifolia,1,4238.157227,38.84073297,-105.041178,Present
Anthomyiidae spp.,Diptera,167,Geranium caespitosum,1,2476.423828,38.854731,-104.945828,Present
Nysius sp.,Hemiptera,183,Senecio fremontii var. blitoides,1,4215.627441,38.83965103,-105.041158,Present
Anthomyiidae spp.,Diptera,176,Micranthes rhomboidea,1,4265.5918,38.840818,-105.0415,Present
Anthomyiidae spp.,Diptera,191,Claytonia megarhiza,1,4226.286133,38.83979696,-105.041218,Present
Vanessa cardui,Lepidoptera,219,Senecio fremontii var. blitoides,1,4224.8457,38.839587,-105.04115,Present
Rhamphomyia spp.,Diptera,176,Geum rossii var. turbinatum,1,4229.88232,38.840749,-105.04114,Present
Stictopleurus sp.,Hemiptera,176,Geum rossii var. turbinatum,1,4229.88232,38.840749,-105.04114,Present
Acmaeodera mixta,Coleoptera,182,Erigeron speciosus,1,2199.327393,38.86672801,-104.941702,Present
Anthomyiidae spp.,Diptera,173,Claytonia megarhiza,1,4228.151367,38.83987701,-105.041201,Present
Calliphora spp.,Diptera,173,Claytonia megarhiza,1,4223.087402,38.83970601,-105.041113,Present
Torymidae spp.,Hymenoptera,176,Geum rossii var. turbinatum,1,4232.985352,38.84077596,-105.041112,Present
Acmaeodera mixta,Coleoptera,205,Heterotheca villosa,1,2207.436768,38.86636097,-104.941554,Present
Selasphorus platycercus,Apodiformes,179,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Nysius sp.,Hemiptera,173,Geum rossii var. turbinatum,1,4232.775879,38.84023198,-105.041106,Present
Teleorhinus tephrosicola,Hemiptera,173,Geum rossii var. turbinatum,1,4232.775879,38.84023198,-105.041106,Present
Acmaeodera mixta,Coleoptera,198,Arnica fulgens,1,2202.404785,38.86452198,-104.940051,Present
Selasphorus platycercus,Apodiformes,179,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Neodiplotoxa sp.,Diptera,191,Geum rossii var. turbinatum,4,4228.160156,38.84002302,-105.041103,Present
Balclutha sp.,Hemiptera,191,Geum rossii var. turbinatum,1,4228.160156,38.84002302,-105.041103,Present
Torymidae spp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4228.160156,38.84002302,-105.041103,Present
Selasphorus platycercus,Apodiformes,179,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Selasphorus platycercus,Apodiformes,179,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Selasphorus platycercus,Apodiformes,179,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Nysius sp.,Hemiptera,183,Minuartia obtusiloba,1,4230.532715,38.84021698,-105.041099,Present
Selasphorus platycercus,Apodiformes,180,Penstemon glaber,1,2817.105957,38.92815404,-105.048854,Present
Acmaeodera mixta,Coleoptera,205,Heterotheca villosa,1,2200.317139,38.86480001,-104.939878,Present
Chloropidae spp.,Diptera,173,Claytonia megarhiza,1,4246.996582,38.840911,-105.041095,Present
Selasphorus platycercus,Apodiformes,180,Caragana arborescens,1,2700.872559,38.92479801,-105.022178,Present
Nysius sp.,Hemiptera,183,Silene acaulis,1,4237.59082,38.84036299,-105.041094,Present
Selasphorus platycercus,Apodiformes,180,Caragana arborescens,1,2700.872559,38.92479801,-105.022178,Present
Selasphorus platycercus,Apodiformes,182,Penstemon glaber,1,2793.486816,38.92774601,-105.048208,Present
Iteaphila spp.,Diptera,173,Geum rossii var. turbinatum,1,4235.375,38.84012301,-105.041088,Present
Nysius sp.,Hemiptera,173,Geum rossii var. turbinatum,1,4235.375,38.84012301,-105.041088,Present
